127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/save_icon.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.047000
127.0.0.1, 2013-01-21 14:04:10, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.047000
127.0.0.1, 2013-01-21 14:05:26, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-01-21 14:05:37, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.234000
127.0.0.1, 2013-01-21 14:05:55, GET, /myapp, HTTP/1.1, 500, 0.219000
127.0.0.1, 2013-01-21 14:06:11, GET, /myapp/default/index, HTTP/1.1, 500, 0.078000
127.0.0.1, 2013-01-21 14:06:30, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.125000
127.0.0.1, 2013-01-21 14:06:44, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-01-21 14:06:54, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-01-21 14:07:02, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/default/index, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:07:10, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:08:09, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:10:31, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:10:35, GET, /myapp, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-01-21 14:10:46, GET, /myapp, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-01-21 14:10:48, GET, /myapp, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-01-21 14:10:50, GET, /myapp, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-01-21 14:10:50, GET, /myapp, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-01-21 14:12:11, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.016000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:14, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.015000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-21 14:12:23, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.016000
